id, name, website, industry, active, bank_mid, notification_url
"e69cd3e1-3bb7-4f35-9ebb-592c1995119e","Jacobi, McClure and Kreiger","http://haag.net","Persistent",true,"a7c7bc9d","http://lowe.name/vilma"
"984449d0-7f65-4d70-ace3-9cc197cdf0fd","Glover, Bernier and Jacobi","http://heathcote.net","next generation",true,"0d615ca5","http://tremblayharber.co/gunnar.lindgren"
"646a80ba-d3cc-4ab4-9fff-4bb3aaac59b1","Fadel, Feil and Torp","http://graham.io","static",true,"a35fb976","http://osinski.org/dortha"
"45f17898-2880-47f1-adea-50f7ea153ee9","Buckridge-Schroeder","http://stammreichel.net","help-desk",true,"daec4b75","http://thompson.org/kallie"
"d5914c4f-09ae-4942-b041-9c8b47986bd7","Schoen-Jenkins","http://marvin.com","impactful",true,"07e6210d","http://schmidt.info/rosa"
"b664f8d5-eb9a-4ee5-a41f-4be19eea2c5f","Leffler, Labadie and Bernhard","http://hermiston.info","zero administration",true,"cc2e3778","http://gutkowski.info/bryana"
"65a3e753-bd40-4006-8e05-f1a63fe2ec92","Runolfsson LLC","http://larkin.co","complexity",true,"9a83b735","http://paucek.net/albin_shields"
"20d5d302-7228-4fa2-a831-25a11efbda94","Erdman LLC","http://nikolaus.co","challenge",true,"47f7efa1","http://fritsch.io/willy_harris"
"99e45e65-ae0e-46c4-972f-e02ef1d8ca5d","Schiller-Stark","http://kozey.org","local",true,"ed5be4c5","http://schroeder.com/wayne"
"f6bf1525-f3ba-45ca-afff-fbd4b1c61dfd","Cummings, Lubowitz and Mayer","http://schuster.org","matrices",true,"0acf2eda","http://balistreri.co/juwan"
"57ebe989-8ed1-4c48-9597-3b5c6c6d27bd","Baumbach-Schmeler","http://johnstonhilpert.info","regional",true,"0601a49a","http://wiegand.co/nicola"
"c7ce4253-c281-49c3-a86b-d9fb31783fcf","Roob-Nicolas","http://binsbotsford.biz","Monitored",true,"6b01e74c","http://sauergleichner.net/gustave_collins"
"11c5ce03-31f9-4678-b15f-7f3909d87a78","Kuphal, Haley and Haag","http://armstrong.biz","attitude",true,"4c59b3bd","http://goyette.io/rickey"
"b457bc99-83a0-420f-902d-e534208fc445","Lindgren, Tromp and Bayer","http://champlin.net","User-friendly",true,"880c8d81","http://farrell.io/adah_mayert"
